Name,Slug,City,State,Rating,Reviews,Website,Email,Phone,Badge URL,Listing URL,Status
"SVB Tennis & Wellness Center",svb-tennis-wellness-center,"Zephyrhills",FL,0.0,0,https://www.svbtennisfoundation.org/,,(610) 368-0552,https://padelfinder.com/badge/svb-tennis-wellness-center,https://padelfinder.com/courts/svb-tennis-wellness-center,unverified
"ITP Training Academy",itp-training-academy,"Atlanta",GA,0.0,0,https://itpta.com,,(470) 421-2402,https://padelfinder.com/badge/itp-training-academy,https://padelfinder.com/courts/itp-training-academy,unverified
"Urban Padel Doral",urban-padel-doral,"Doral",FL,0.0,0,https://urbanpadel.us,,(786) 550-0070,https://padelfinder.com/badge/urban-padel-doral,https://padelfinder.com/courts/urban-padel-doral,unverified
"Parker Racquet Club",parker-racquet-club,"Parker",CO,0.0,0,https://www.parkerracquetclub.com/padel,,,https://padelfinder.com/badge/parker-racquet-club,https://padelfinder.com/courts/parker-racquet-club,unverified
"USTA National Campus",usta-national-campus,"Orlando",FL,0.0,0,https://www.ustanationalcampus.com/en/home/play/padel.html,,(407) 675-2500,https://padelfinder.com/badge/usta-national-campus,https://padelfinder.com/courts/usta-national-campus,unverified
"Padel Haus Dumbo",padel-haus-dumbo,"Brooklyn",NY,0.0,0,https://www.padel.haus/dumbo,,(917) 970-0036,https://padelfinder.com/badge/padel-haus-dumbo,https://padelfinder.com/courts/padel-haus-dumbo,unverified
"Padel Social Bethesda",padel-social-bethesda,"Bethesda",MD,0.0,0,https://padelsocial.com,,(301) 526-6339,https://padelfinder.com/badge/padel-social-bethesda,https://padelfinder.com/courts/padel-social-bethesda,unverified
"Ultra Padel Aventura",ultra-padel-aventura,"Aventura",FL,0.0,0,https://ultrapadelclub.com/ultra-padel-aventura,,(305) 384-1053,https://padelfinder.com/badge/ultra-padel-aventura,https://padelfinder.com/courts/ultra-padel-aventura,unverified
"Padel Pals",padel-pals,"Mesa",AZ,0.0,0,https://padel-pals.com,,(480) 318-3219,https://padelfinder.com/badge/padel-pals,https://padelfinder.com/courts/padel-pals,unverified
"The Sports Haus",the-sports-haus,"Norwalk",CT,0.0,0,https://sports.haus,,(866) 625-8215,https://padelfinder.com/badge/the-sports-haus,https://padelfinder.com/courts/the-sports-haus,unverified
"The Club at Monroe",the-club-at-monroe,"Monroe Township",NJ,0.0,0,https://theclubnj.com,,(732) 400-1755,https://padelfinder.com/badge/the-club-at-monroe,https://padelfinder.com/courts/the-club-at-monroe,unverified
